transaction_id,customer_id,product_id,date,quantity,price_per_unit,name,gender,age,location,product_name,category,cost_per_unit,total_amount,total_cost,profit,month
T0017,C098,P002,2023-02-10,3,15.46,Jonathan Snyder,F,41,Lake Amandaland,Widget B,Electronics,12.0,46.38,36.0,10.380000000000003,2023-02
T0018,C070,P005,2023-05-18,4,19.29,John Marshall,M,61,East Jenna,Tool Z,Outdoors,15.0,77.16,60.0,17.159999999999997,2023-05
T0019,C001,P005,2023-01-13,3,28.75,Paula Hall,M,56,Alexiston,Tool Z,Outdoors,15.0,86.25,45.0,41.25,2023-01
T0020,C042,P004,2023-09-22,1,11.61,Christopher Hodges,F,56,North Heather,Gadget Y,Home,8.0,11.61,8.0,3.6099999999999994,2023-09
T0021,C003,P001,2023-08-24,4,12.29,Erika Wiley,F,32,New John,Widget A,Electronics,7.0,49.16,28.0,21.159999999999997,2023-08
T0022,C047,P003,2023-08-08,1,7.0,Katherine Espinoza,F,26,South Gary,Gadget X,Home,5.0,7.0,5.0,2.0,2023-08
T0023,C031,P001,2023-12-29,1,11.42,Lindsay Gilbert,F,59,Deniseberg,Widget A,Electronics,7.0,11.42,7.0,4.42,2023-12
T0024,C031,P005,2023-11-04,1,20.75,Lindsay Gilbert,F,59,Deniseberg,Tool Z,Outdoors,15.0,20.75,15.0,5.75,2023-11
T0025,C011,P001,2023-05-27,4,11.75,John Robinson,M,28,East Wayne,Widget A,Electronics,7.0,47.0,28.0,19.0,2023-05
T0026,C094,P004,2023-10-07,3,10.63,Derrick Howard,M,18,Lake Samuelberg,Gadget Y,Home,8.0,31.89,24.0,7.890000000000001,2023-10
T0027,C009,P005,2023-09-07,2,25.49,Laurie Sparks,F,40,South Robert,Tool Z,Outdoors,15.0,50.98,30.0,20.979999999999997,2023-09
T0028,C099,P002,2023-12-18,2,20.48,Robert Carter,M,18,Westmouth,Widget B,Electronics,12.0,40.96,24.0,16.96,2023-12
T0029,C017,P004,2023-01-09,2,12.52,Todd Chavez,F,39,Austinburgh,Gadget Y,Home,8.0,25.04,16.0,9.04,2023-01
T0030,C071,P002,2023-02-18,4,16.19,Ann Stewart,M,51,Cannonshire,Widget B,Electronics,12.0,64.76,48.0,16.760000000000005,2023-02
T0031,C034,P005,2023-01-30,2,28.6,Matthew Taylor,F,32,Harrisonmouth,Tool Z,Outdoors,15.0,57.2,30.0,27.200000000000003,2023-01
T0032,C078,P004,2023-02-27,4,14.77,Deanna Green,M,31,New Christopher,Gadget Y,Home,8.0,59.08,32.0,27.08,2023-02
T0033,C028,P005,2023-02-02,4,22.28,Alicia Solis,F,61,Steventown,Tool Z,Outdoors,15.0,89.12,60.0,29.120000000000005,2023-02
T0034,C097,P002,2023-06-24,2,15.46,Jillian Gould,M,26,Port Angela,Widget B,Electronics,12.0,30.92,24.0,6.920000000000002,2023-06
T0035,C092,P003,2023-01-11,1,8.59,Valerie Coleman,F,32,South John,Gadget X,Home,5.0,8.59,5.0,3.59,2023-01
T0036,C052,P003,2023-09-06,1,9.27,Michael Mcguire,F,64,Lake Jasonville,Gadget X,Home,5.0,9.27,5.0,4.27,2023-09
T0037,C057,P005,2023-09-08,1,21.66,Mrs. Patricia Williams,F,52,Reevesfurt,Tool Z,Outdoors,15.0,21.66,15.0,6.66,2023-09
T0038,C058,P001,2023-07-23,2,11.26,John Newton,M,31,Lake Nathanielfurt,Widget A,Electronics,7.0,22.52,14.0,8.52,2023-07
T0039,C032,P002,2023-01-27,1,19.05,Shelby Hayes,M,45,Suefort,Widget B,Electronics,12.0,19.05,12.0,7.050000000000001,2023-01
T0040,C009,P003,2023-04-26,1,6.48,Laurie Sparks,F,40,South Robert,Gadget X,Home,5.0,6.48,5.0,1.4800000000000004,2023-04
T0041,C003,P005,2023-02-07,4,20.93,Erika Wiley,F,32,New John,Tool Z,Outdoors,15.0,83.72,60.0,23.72,2023-02
T0042,C071,P002,2023-09-23,3,17.5,Ann Stewart,M,51,Cannonshire,Widget B,Electronics,12.0,52.5,36.0,16.5,2023-09
T0043,C076,P002,2023-08-28,4,19.76,Kim Larson,M,32,Oliviamouth,Widget B,Electronics,12.0,79.04,48.0,31.040000000000006,2023-08
T0044,C001,P001,2023-12-12,4,10.44,Paula Hall,M,56,Alexiston,Widget A,Electronics,7.0,41.76,28.0,13.759999999999998,2023-12
T0045,C091,P001,2023-09-23,1,9.82,Anita Walsh,M,46,New Robertville,Widget A,Electronics,7.0,9.82,7.0,2.8200000000000003,2023-09
T0046,C030,P001,2023-01-15,4,9.81,Whitney Carter,M,44,West Stephanie,Widget A,Electronics,7.0,39.24,28.0,11.240000000000002,2023-01
T0047,C005,P003,2023-12-13,2,8.85,Adam Webb,M,25,Cooperstad,Gadget X,Home,5.0,17.7,10.0,7.699999999999999,2023-12
T0048,C010,P005,2023-06-23,1,21.42,Todd Hughes,M,28,Territown,Tool Z,Outdoors,15.0,21.42,15.0,6.420000000000002,2023-06
T0049,C031,P003,2023-04-02,1,7.07,Lindsay Gilbert,F,59,Deniseberg,Gadget X,Home,5.0,7.07,5.0,2.0700000000000003,2023-04
T0050,C086,P004,2023-02-20,2,12.82,Isaac Doyle,F,41,Gardnermouth,Gadget Y,Home,8.0,25.64,16.0,9.64,2023-02
T0051,C028,P005,2023-08-02,2,18.4,Alicia Solis,F,61,Steventown,Tool Z,Outdoors,15.0,36.8,30.0,6.799999999999997,2023-08
T0052,C017,P005,2023-06-16,4,28.9,Todd Chavez,F,39,Austinburgh,Tool Z,Outdoors,15.0,115.6,60.0,55.599999999999994,2023-06
T0053,C074,P004,2023-03-21,3,13.96,Michael Thompson,F,31,North Henryburgh,Gadget Y,Home,8.0,41.88,24.0,17.880000000000003,2023-03
T0054,C032,P004,2023-02-07,1,12.73,Shelby Hayes,M,45,Suefort,Gadget Y,Home,8.0,12.73,8.0,4.73,2023-02
T0055,C053,P002,2023-07-07,4,19.71,Michele Smith,F,24,Port Shawn,Widget B,Electronics,12.0,78.84,48.0,30.840000000000003,2023-07
T0056,C013,P001,2023-08-06,3,12.16,Travis Kim,M,53,North Gary,Widget A,Electronics,7.0,36.480000000000004,21.0,15.480000000000004,2023-08
T0057,C085,P004,2023-03-17,3,11.97,Heather Anderson,M,64,Suzanneside,Gadget Y,Home,8.0,35.910000000000004,24.0,11.910000000000004,2023-03
T0058,C046,P004,2023-08-13,1,14.26,Rachel Moran,M,31,Garciahaven,Gadget Y,Home,8.0,14.26,8.0,6.26,2023-08
T0059,C053,P004,2023-05-01,4,12.61,Michele Smith,F,24,Port Shawn,Gadget Y,Home,8.0,50.44,32.0,18.439999999999998,2023-05
T0060,C094,P001,2023-10-11,2,11.95,Derrick Howard,M,18,Lake Samuelberg,Widget A,Electronics,7.0,23.9,14.0,9.899999999999999,2023-10
T0061,C087,P001,2023-02-12,3,12.97,Margaret Morales,F,43,West Michaela,Widget A,Electronics,7.0,38.910000000000004,21.0,17.910000000000004,2023-02
T0062,C008,P004,2023-02-21,4,14.95,Leslie Lee,M,36,Paulburgh,Gadget Y,Home,8.0,59.8,32.0,27.799999999999997,2023-02
T0063,C094,P003,2023-07-29,4,8.03,Derrick Howard,M,18,Lake Samuelberg,Gadget X,Home,5.0,32.12,20.0,12.119999999999997,2023-07
T0064,C014,P002,2023-09-06,4,14.79,Valerie Adkins,M,57,Kingville,Widget B,Electronics,12.0,59.16,48.0,11.159999999999997,2023-09
T0065,C025,P002,2023-03-25,4,17.53,Theresa Smith,F,50,Sylviastad,Widget B,Electronics,12.0,70.12,48.0,22.120000000000005,2023-03
T0066,C069,P004,2023-05-17,4,9.71,Matthew Ortiz,M,43,Port Cherylmouth,Gadget Y,Home,8.0,38.84,32.0,6.840000000000003,2023-05
T0067,C018,P004,2023-05-22,3,14.78,Caitlyn Collins,M,19,Bowersbury,Gadget Y,Home,8.0,44.339999999999996,24.0,20.339999999999996,2023-05
T0068,C024,P003,2023-03-08,4,8.58,James Peters,F,38,Matthewshaven,Gadget X,Home,5.0,34.32,20.0,14.32,2023-03
T0069,C060,P002,2023-08-29,4,23.43,Valerie Jones,M,53,New Alexander,Widget B,Electronics,12.0,93.72,48.0,45.72,2023-08
T0070,C010,P004,2023-12-26,4,12.08,Todd Hughes,M,28,Territown,Gadget Y,Home,8.0,48.32,32.0,16.32,2023-12
T0071,C071,P001,2023-02-05,2,13.09,Ann Stewart,M,51,Cannonshire,Widget A,Electronics,7.0,26.18,14.0,12.18,2023-02
T0072,C007,P005,2023-09-07,3,22.09,Robin Walters,M,56,Lake Nicolemouth,Tool Z,Outdoors,15.0,66.27,45.0,21.269999999999996,2023-09
T0073,C002,P001,2023-04-24,1,9.57,Samantha Valenzuela,M,46,Cynthiafurt,Widget A,Electronics,7.0,9.57,7.0,2.5700000000000003,2023-04
T0074,C097,P002,2023-11-11,3,22.82,Jillian Gould,M,26,Port Angela,Widget B,Electronics,12.0,68.46000000000001,36.0,32.46000000000001,2023-11
T0075,C022,P004,2023-11-29,3,11.06,Brenda Fry,M,55,North Steve,Gadget Y,Home,8.0,33.18,24.0,9.18,2023-11
T0076,C063,P004,2023-09-15,4,14.83,Wendy Walsh,M,19,Lake Lindsaystad,Gadget Y,Home,8.0,59.32,32.0,27.32,2023-09
T0077,C028,P004,2023-07-22,1,12.91,Alicia Solis,F,61,Steventown,Gadget Y,Home,8.0,12.91,8.0,4.91,2023-07
T0078,C008,P002,2023-11-02,1,16.72,Leslie Lee,M,36,Paulburgh,Widget B,Electronics,12.0,16.72,12.0,4.719999999999999,2023-11
T0079,C049,P001,2023-04-20,4,13.81,Heather Hood MD,M,19,Dominguezberg,Widget A,Electronics,7.0,55.24,28.0,27.240000000000002,2023-04
T0080,C050,P003,2023-12-10,1,9.6,Carol Martin,M,37,Norrischester,Gadget X,Home,5.0,9.6,5.0,4.6,2023-12
T0081,C059,P003,2023-05-24,3,6.75,Shane Cruz,F,34,Jasonside,Gadget X,Home,5.0,20.25,15.0,5.25,2023-05
T0082,C055,P005,2023-05-20,1,22.19,Tina Dunn,M,25,Aarontown,Tool Z,Outdoors,15.0,22.19,15.0,7.190000000000001,2023-05
T0083,C085,P004,2023-06-14,4,15.02,Heather Anderson,M,64,Suzanneside,Gadget Y,Home,8.0,60.08,32.0,28.08,2023-06
T0084,C020,P002,2023-10-31,4,22.92,Michael Frost,F,61,South Brittanystad,Widget B,Electronics,12.0,91.68,48.0,43.68000000000001,2023-10
T0085,C038,P002,2023-12-27,4,22.92,Haley White,M,54,East Tony,Widget B,Electronics,12.0,91.68,48.0,43.68000000000001,2023-12
T0086,C008,P005,2023-02-28,4,19.01,Leslie Lee,M,36,Paulburgh,Tool Z,Outdoors,15.0,76.04,60.0,16.040000000000006,2023-02
T0087,C095,P005,2023-04-28,4,27.42,Thomas Cooper,M,42,East Beverly,Tool Z,Outdoors,15.0,109.68,60.0,49.68000000000001,2023-04
T0088,C008,P003,2023-09-24,4,8.43,Leslie Lee,M,36,Paulburgh,Gadget X,Home,5.0,33.72,20.0,13.719999999999999,2023-09
T0089,C008,P001,2023-12-05,3,10.48,Leslie Lee,M,36,Paulburgh,Widget A,Electronics,7.0,31.44,21.0,10.440000000000001,2023-12
T0090,C075,P004,2023-02-06,1,13.85,Sean Mckenzie,M,48,Danielborough,Gadget Y,Home,8.0,13.85,8.0,5.85,2023-02
T0091,C065,P005,2023-07-01,1,21.41,Sherry Stewart,F,59,Jordanburgh,Tool Z,Outdoors,15.0,21.41,15.0,6.41,2023-07
T0092,C021,P001,2023-01-24,2,11.47,Anna Lamb,M,47,Lake Karenchester,Widget A,Electronics,7.0,22.94,14.0,8.940000000000001,2023-01
T0093,C066,P001,2023-03-29,2,10.91,Ronald Williams,F,21,Conleyburgh,Widget A,Electronics,7.0,21.82,14.0,7.82,2023-03
T0094,C024,P001,2023-10-11,1,9.66,James Peters,F,38,Matthewshaven,Widget A,Electronics,7.0,9.66,7.0,2.66,2023-10
T0095,C077,P001,2023-02-25,1,8.5,Andrea Fisher,F,25,North Janicebury,Widget A,Electronics,7.0,8.5,7.0,1.5,2023-02
T0096,C087,P002,2023-10-30,2,17.52,Margaret Morales,F,43,West Michaela,Widget B,Electronics,12.0,35.04,24.0,11.04,2023-10
T0097,C052,P001,2023-12-23,4,10.45,Michael Mcguire,F,64,Lake Jasonville,Widget A,Electronics,7.0,41.8,28.0,13.799999999999997,2023-12
T0098,C073,P002,2023-01-25,4,22.55,Mary Clark,F,53,Holdentown,Widget B,Electronics,12.0,90.2,48.0,42.2,2023-01
T0099,C075,P005,2023-09-17,1,21.7,Sean Mckenzie,M,48,Danielborough,Tool Z,Outdoors,15.0,21.7,15.0,6.699999999999999,2023-09
T0100,C006,P005,2023-07-13,4,19.12,Clinton Fuentes,M,38,Lake Josephberg,Tool Z,Outdoors,15.0,76.48,60.0,16.480000000000004,2023-07
T0101,C011,P004,2023-05-13,3,13.67,John Robinson,M,28,East Wayne,Gadget Y,Home,8.0,41.01,24.0,17.009999999999998,2023-05
T0102,C085,P005,2023-01-16,2,20.93,Heather Anderson,M,64,Suzanneside,Tool Z,Outdoors,15.0,41.86,30.0,11.86,2023-01
T0103,C073,P005,2023-04-25,2,29.75,Mary Clark,F,53,Holdentown,Tool Z,Outdoors,15.0,59.5,30.0,29.5,2023-04
T0104,C041,P003,2023-09-11,3,9.57,Lynn Pruitt,F,26,Sullivanfort,Gadget X,Home,5.0,28.71,15.0,13.71,2023-09
T0105,C027,P003,2023-05-02,3,7.74,Jennifer Black,M,39,Gibsonmouth,Gadget X,Home,5.0,23.22,15.0,8.219999999999999,2023-05
T0106,C031,P003,2023-09-24,1,8.01,Lindsay Gilbert,F,59,Deniseberg,Gadget X,Home,5.0,8.01,5.0,3.01,2023-09
T0107,C051,P002,2023-02-18,4,20.82,Michelle Castro MD,F,45,Frostfort,Widget B,Electronics,12.0,83.28,48.0,35.28,2023-02
T0108,C086,P003,2023-07-21,1,6.78,Isaac Doyle,F,41,Gardnermouth,Gadget X,Home,5.0,6.78,5.0,1.7800000000000002,2023-07
T0109,C059,P003,2023-09-30,1,8.0,Shane Cruz,F,34,Jasonside,Gadget X,Home,5.0,8.0,5.0,3.0,2023-09
T0110,C097,P001,2023-09-29,4,8.54,Jillian Gould,M,26,Port Angela,Widget A,Electronics,7.0,34.16,28.0,6.159999999999997,2023-09
T0111,C002,P004,2023-03-04,1,9.88,Samantha Valenzuela,M,46,Cynthiafurt,Gadget Y,Home,8.0,9.88,8.0,1.8800000000000008,2023-03
T0112,C080,P005,2023-09-03,4,29.29,Dylan Wright,F,57,Lake Ericfurt,Tool Z,Outdoors,15.0,117.16,60.0,57.16,2023-09
T0113,C013,P001,2023-08-26,1,9.97,Travis Kim,M,53,North Gary,Widget A,Electronics,7.0,9.97,7.0,2.9700000000000006,2023-08
T0114,C069,P002,2023-06-20,2,17.95,Matthew Ortiz,M,43,Port Cherylmouth,Widget B,Electronics,12.0,35.9,24.0,11.899999999999999,2023-06
T0115,C065,P003,2023-03-22,1,9.81,Sherry Stewart,F,59,Jordanburgh,Gadget X,Home,5.0,9.81,5.0,4.8100000000000005,2023-03
T0116,C017,P003,2023-11-10,1,7.71,Todd Chavez,F,39,Austinburgh,Gadget X,Home,5.0,7.71,5.0,2.71,2023-11
T0117,C009,P002,2023-07-23,1,19.89,Laurie Sparks,F,40,South Robert,Widget B,Electronics,12.0,19.89,12.0,7.890000000000001,2023-07
T0118,C048,P003,2023-06-14,4,9.41,Sheila Johnson,M,43,Susanhaven,Gadget X,Home,5.0,37.64,20.0,17.64,2023-06
T0119,C021,P004,2023-10-15,3,11.56,Anna Lamb,M,47,Lake Karenchester,Gadget Y,Home,8.0,34.68,24.0,10.68,2023-10
T0120,C070,P003,2023-08-12,4,9.4,John Marshall,M,61,East Jenna,Gadget X,Home,5.0,37.6,20.0,17.6,2023-08
T0121,C079,P005,2023-02-09,4,23.82,Joseph Collins DVM,F,40,Frostville,Tool Z,Outdoors,15.0,95.28,60.0,35.28,2023-02
T0122,C002,P005,2023-04-23,2,24.68,Samantha Valenzuela,M,46,Cynthiafurt,Tool Z,Outdoors,15.0,49.36,30.0,19.36,2023-04
T0123,C039,P001,2023-01-01,3,13.13,Jesus Dawson,F,24,New Jasmine,Widget A,Electronics,7.0,39.39,21.0,18.39,2023-01
T0124,C018,P003,2023-11-10,3,8.28,Caitlyn Collins,M,19,Bowersbury,Gadget X,Home,5.0,24.839999999999996,15.0,9.839999999999996,2023-11
T0125,C015,P001,2023-11-03,4,9.57,Jesse Garrett,M,41,South Danieltown,Widget A,Electronics,7.0,38.28,28.0,10.280000000000001,2023-11
T0126,C096,P005,2023-05-11,3,29.88,Jennifer Mccoy,M,24,New Kristinmouth,Tool Z,Outdoors,15.0,89.64,45.0,44.64,2023-05
T0127,C020,P003,2023-05-01,2,7.02,Michael Frost,F,61,South Brittanystad,Gadget X,Home,5.0,14.04,10.0,4.039999999999999,2023-05
T0128,C037,P005,2023-03-10,2,28.53,Crystal Cox,F,20,Carrilloland,Tool Z,Outdoors,15.0,57.06,30.0,27.060000000000002,2023-03
T0129,C027,P003,2023-11-11,1,9.39,Jennifer Black,M,39,Gibsonmouth,Gadget X,Home,5.0,9.39,5.0,4.390000000000001,2023-11
T0130,C027,P003,2023-11-30,1,8.81,Jennifer Black,M,39,Gibsonmouth,Gadget X,Home,5.0,8.81,5.0,3.8100000000000005,2023-11
T0131,C065,P004,2023-12-17,4,13.14,Sherry Stewart,F,59,Jordanburgh,Gadget Y,Home,8.0,52.56,32.0,20.560000000000002,2023-12
T0132,C033,P001,2023-01-15,2,12.93,Jennifer Vincent,F,33,Port Gary,Widget A,Electronics,7.0,25.86,14.0,11.86,2023-01
T0133,C012,P004,2023-04-13,3,11.24,John Bright,M,41,Cynthiaburgh,Gadget Y,Home,8.0,33.72,24.0,9.719999999999999,2023-04
T0134,C036,P001,2023-12-26,4,13.51,Kimberly Cross,M,61,South Reginald,Widget A,Electronics,7.0,54.04,28.0,26.04,2023-12
T0135,C001,P003,2023-10-10,2,6.02,Paula Hall,M,56,Alexiston,Gadget X,Home,5.0,12.04,10.0,2.039999999999999,2023-10
T0136,C099,P002,2023-04-19,4,22.06,Robert Carter,M,18,Westmouth,Widget B,Electronics,12.0,88.24,48.0,40.239999999999995,2023-04
T0137,C082,P003,2023-12-22,1,6.28,Christopher Hawkins,M,33,South Andrewport,Gadget X,Home,5.0,6.28,5.0,1.2800000000000002,2023-12
T0138,C021,P004,2023-05-11,2,14.69,Anna Lamb,M,47,Lake Karenchester,Gadget Y,Home,8.0,29.38,16.0,13.379999999999999,2023-05
T0139,C071,P004,2023-09-28,4,15.27,Ann Stewart,M,51,Cannonshire,Gadget Y,Home,8.0,61.08,32.0,29.08,2023-09
T0140,C072,P001,2023-05-10,3,10.5,Ms. Brenda Williams DDS,F,27,Meyersbury,Widget A,Electronics,7.0,31.5,21.0,10.5,2023-05
T0141,C015,P001,2023-08-13,2,10.86,Jesse Garrett,M,41,South Danieltown,Widget A,Electronics,7.0,21.72,14.0,7.719999999999999,2023-08
T0142,C089,P002,2023-07-06,3,14.75,Louis Thompson,F,62,Elizabethchester,Widget B,Electronics,12.0,44.25,36.0,8.25,2023-07
T0143,C070,P001,2023-05-18,1,9.27,John Marshall,M,61,East Jenna,Widget A,Electronics,7.0,9.27,7.0,2.2699999999999996,2023-05
T0144,C048,P005,2023-09-30,2,21.44,Sheila Johnson,M,43,Susanhaven,Tool Z,Outdoors,15.0,42.88,30.0,12.880000000000003,2023-09
T0145,C071,P002,2023-02-03,2,22.66,Ann Stewart,M,51,Cannonshire,Widget B,Electronics,12.0,45.32,24.0,21.32,2023-02
T0146,C056,P002,2023-03-17,1,14.76,Brandon Payne,F,64,Washingtonburgh,Widget B,Electronics,12.0,14.76,12.0,2.76,2023-03
T0147,C006,P003,2023-07-06,2,7.21,Clinton Fuentes,M,38,Lake Josephberg,Gadget X,Home,5.0,14.42,10.0,4.42,2023-07
T0148,C047,P001,2023-03-10,3,9.11,Katherine Espinoza,F,26,South Gary,Widget A,Electronics,7.0,27.33,21.0,6.329999999999998,2023-03
T0149,C046,P002,2023-12-05,1,22.35,Rachel Moran,M,31,Garciahaven,Widget B,Electronics,12.0,22.35,12.0,10.350000000000001,2023-12
T0150,C088,P002,2023-10-17,4,16.47,Frank Bennett,F,42,Lewisport,Widget B,Electronics,12.0,65.88,48.0,17.879999999999995,2023-10
T0151,C086,P001,2023-05-17,1,10.96,Isaac Doyle,F,41,Gardnermouth,Widget A,Electronics,7.0,10.96,7.0,3.960000000000001,2023-05
T0152,C046,P005,2023-03-10,2,18.62,Rachel Moran,M,31,Garciahaven,Tool Z,Outdoors,15.0,37.24,30.0,7.240000000000002,2023-03
T0153,C053,P005,2023-07-23,4,22.94,Michele Smith,F,24,Port Shawn,Tool Z,Outdoors,15.0,91.76,60.0,31.760000000000005,2023-07
T0154,C096,P002,2023-05-13,3,20.52,Jennifer Mccoy,M,24,New Kristinmouth,Widget B,Electronics,12.0,61.56,36.0,25.560000000000002,2023-05
T0155,C031,P002,2023-10-29,4,15.67,Lindsay Gilbert,F,59,Deniseberg,Widget B,Electronics,12.0,62.68,48.0,14.68,2023-10
T0156,C023,P004,2023-12-09,2,12.9,Olivia Powers,F,19,Ibarrafort,Gadget Y,Home,8.0,25.8,16.0,9.8,2023-12
T0157,C004,P002,2023-09-18,2,14.79,Christine Burns,M,60,Port Kimberlyville,Widget B,Electronics,12.0,29.58,24.0,5.579999999999998,2023-09
T0158,C095,P003,2023-11-24,4,7.08,Thomas Cooper,M,42,East Beverly,Gadget X,Home,5.0,28.32,20.0,8.32,2023-11
T0159,C053,P002,2023-08-03,4,21.54,Michele Smith,F,24,Port Shawn,Widget B,Electronics,12.0,86.16,48.0,38.16,2023-08
T0160,C035,P002,2023-03-20,2,14.64,Lynn Jensen,F,64,New Monica,Widget B,Electronics,12.0,29.28,24.0,5.280000000000001,2023-03
T0161,C090,P001,2023-01-03,1,8.85,Mr. Johnathan Stone MD,M,58,Abbottmouth,Widget A,Electronics,7.0,8.85,7.0,1.8499999999999996,2023-01
T0162,C049,P001,2023-12-17,3,12.3,Heather Hood MD,M,19,Dominguezberg,Widget A,Electronics,7.0,36.900000000000006,21.0,15.900000000000006,2023-12
T0163,C061,P002,2023-08-27,1,14.96,Brad Smith,M,57,Ericaton,Widget B,Electronics,12.0,14.96,12.0,2.960000000000001,2023-08
T0164,C026,P004,2023-11-16,2,10.6,Nicole Reid,M,29,Katherineville,Gadget Y,Home,8.0,21.2,16.0,5.199999999999999,2023-11
T0165,C045,P003,2023-05-24,2,6.96,William Monroe,M,42,Ayalachester,Gadget X,Home,5.0,13.92,10.0,3.92,2023-05
T0166,C030,P002,2023-01-05,2,21.26,Whitney Carter,M,44,West Stephanie,Widget B,Electronics,12.0,42.52,24.0,18.520000000000003,2023-01
T0167,C004,P002,2023-08-23,4,23.37,Christine Burns,M,60,Port Kimberlyville,Widget B,Electronics,12.0,93.48,48.0,45.480000000000004,2023-08
T0168,C052,P003,2023-07-15,1,9.82,Michael Mcguire,F,64,Lake Jasonville,Gadget X,Home,5.0,9.82,5.0,4.82,2023-07
T0169,C036,P001,2023-03-14,3,12.08,Kimberly Cross,M,61,South Reginald,Widget A,Electronics,7.0,36.24,21.0,15.240000000000002,2023-03
T0170,C099,P003,2023-01-01,1,8.45,Robert Carter,M,18,Westmouth,Gadget X,Home,5.0,8.45,5.0,3.4499999999999993,2023-01
T0171,C045,P005,2023-05-17,3,18.57,William Monroe,M,42,Ayalachester,Tool Z,Outdoors,15.0,55.71,45.0,10.71,2023-05
T0172,C052,P005,2023-09-04,2,22.27,Michael Mcguire,F,64,Lake Jasonville,Tool Z,Outdoors,15.0,44.54,30.0,14.54,2023-09
T0173,C043,P001,2023-09-25,1,9.07,Robert Morales,M,35,East Cristinaview,Widget A,Electronics,7.0,9.07,7.0,2.0700000000000003,2023-09
T0174,C015,P003,2023-08-08,1,6.46,Jesse Garrett,M,41,South Danieltown,Gadget X,Home,5.0,6.46,5.0,1.46,2023-08
T0175,C023,P005,2023-09-03,1,19.13,Olivia Powers,F,19,Ibarrafort,Tool Z,Outdoors,15.0,19.13,15.0,4.129999999999999,2023-09
T0176,C034,P001,2023-07-07,2,13.19,Matthew Taylor,F,32,Harrisonmouth,Widget A,Electronics,7.0,26.38,14.0,12.379999999999999,2023-07
T0177,C014,P005,2023-09-30,4,20.1,Valerie Adkins,M,57,Kingville,Tool Z,Outdoors,15.0,80.4,60.0,20.400000000000006,2023-09
T0178,C056,P003,2023-08-07,4,6.39,Brandon Payne,F,64,Washingtonburgh,Gadget X,Home,5.0,25.56,20.0,5.559999999999999,2023-08
T0179,C094,P003,2023-10-27,4,9.23,Derrick Howard,M,18,Lake Samuelberg,Gadget X,Home,5.0,36.92,20.0,16.92,2023-10
T0180,C056,P005,2023-05-23,4,20.08,Brandon Payne,F,64,Washingtonburgh,Tool Z,Outdoors,15.0,80.32,60.0,20.319999999999993,2023-05
T0181,C066,P001,2023-02-13,2,12.04,Ronald Williams,F,21,Conleyburgh,Widget A,Electronics,7.0,24.08,14.0,10.079999999999998,2023-02
